,Problem,Step,Skill,Opportunity,Predicted Error Rate (Original),Student_ID,Success,Calculated Opportunity,Success_opportunity,Fail_opportunity
0,RECTANGLE_ABCD,(AREA QUESTION1),ALT:PARALLELOGRAM-AREA,1,0.1775,1,1,1,1,0
1,RECTANGLE_ABCD,(HEIGHT QUESTION2),ALT:PARALLELOGRAM-SIDE,1,0.3555,1,1,1,1,0
2,RECTANGLE_ABCD,(BASE QUESTION3),ALT:PARALLELOGRAM-SIDE,2,0.2809,1,1,2,2,0
3,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION1),ALT:PARALLELOGRAM-AREA,2,0.1759,1,1,2,2,0
4,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION1),ALT:PARALLELOGRAM-AREA,3,0.1743,1,1,3,3,0
5,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION,1,0.4422,1,1,1,1,0
6,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION2),ALT:PARALLELOGRAM-AREA,4,0.1727,1,1,4,4,0
7,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION2),ALT:PARALLELOGRAM-AREA,5,0.1711,1,1,5,5,0
8,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION2),ALT:COMPOSE-BY-ADDITION,2,0.4422,1,1,2,2,0
9,BUILDING_A_SIDEWALK,(POOL-AREA QUESTION3),ALT:PARALLELOGRAM-AREA,6,0.1695,1,1,6,6,0
10,BUILDING_A_SIDEWALK,(LARGE-RECTANGLE-AREA QUESTION3),ALT:PARALLELOGRAM-AREA,7,0.168,1,1,7,7,0
11,BUILDING_A_SIDEWALK,(SIDEWALK-AREA QUESTION3),ALT:COMPOSE-BY-ADDITION,3,0.4422,1,1,3,3,0
12,PARALLELOGRAM_ABDE,(AREA QUESTION1),ALT:PARALLELOGRAM-AREA,8,0.1665,1,1,8,8,0
13,PARALLELOGRAM_ABDE,(HEIGHT QUESTION2),ALT:PARALLELOGRAM-SIDE,3,0.2168,1,0,3,2,1
14,PARALLELOGRAM_ABDE,(BASE QUESTION3),ALT:PARALLELOGRAM-SIDE,4,0.1639,1,1,4,3,1
15,SQUARE_ABCD,(AREA QUESTION1),ALT:PARALLELOGRAM-AREA,9,0.1649,1,1,9,9,0
16,SQUARE_ABCD,(HEIGHT QUESTION2),ALT:PARALLELOGRAM-SIDE,5,0.1219,1,1,5,4,1
17,SQUARE_ABCD,(BASE QUESTION3),ALT:PARALLELOGRAM-SIDE,6,0.0896,1,1,6,5,1
18,PAINTING_THE_WALL,(DOOR-AREA QUESTION1),ALT:PARALLELOGRAM-AREA,10,0.1634,1,1,10,10,0
19,PAINTING_THE_WALL,(WALL-AREA QUESTION1),ALT:PARALLELOGRAM-AREA,11,0.1619,1,0,11,10,1
20,PAINTING_THE_WALL,(PAINTED-AREA QUESTION1),ALT:COMPOSE-BY-ADDITION,4,0.4422,1,1,4,4,0
21,PAINTING_THE_WALL,(DOOR-AREA QUESTION2),ALT:PARALLELOGRAM-AREA,12,0.1604,1,1,12,11,1
22,PAINTING_THE_WALL,(DOOR-AREA QUESTION3),ALT:PARALLELOGRAM-AREA,13,0.159,1,1,13,12,1
23,PAINTING_THE_WALL,(WALL-AREA QUESTION2),ALT:PARALLELOGRAM-AREA,14,0.1575,1,0,14,12,2
24,PAINTING_THE_WALL,(PAINTED-AREA QUESTION2),ALT:COMPOSE-BY-ADDITION,5,0.4422,1,0,5,4,1
25,PAINTING_THE_WALL,(WALL-AREA QUESTION3),ALT:PARALLELOGRAM-AREA,15,0.156,1,1,15,13,2
26,PAINTING_THE_WALL,(PAINTED-AREA QUESTION3),ALT:COMPOSE-BY-ADDITION,6,0.4422,1,1,6,5,1
27,RECTANGLE_HEIGHT,(HEIGHT QUESTION2),ALT:PARALLELOGRAM-SIDE,7,0.0651,1,1,7,6,1
28,TRAPEZOID_AREA,(AREA QUESTION1),ALT:TRAPEZOID-AREA,1,0.789,1,0,1,0,1
29,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,1,0.7957,1,0,1,0,1
30,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,1,0.7442,1,0,1,0,1
31,TRAPEZOID_ABCD,(AREA QUESTION1),ALT:TRAPEZOID-AREA,2,0.7261,1,0,2,0,2
32,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,2,0.6973,1,1,2,1,1
33,TRAPEZOID_ABCD,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,2,0.7533,1,0,2,0,2
34,TRAPEZOID_AREA,(AREA QUESTION1),ALT:TRAPEZOID-AREA,3,0.6528,1,1,3,1,2
35,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,3,0.7054,1,1,3,1,2
36,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,3,0.6459,1,1,3,2,1
37,TRAPEZOID_ABCD,(AREA QUESTION1),ALT:TRAPEZOID-AREA,4,0.5713,1,0,4,1,3
38,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,4,0.5909,1,0,4,2,2
39,TRAPEZOID_ABCD,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,4,0.6524,1,0,4,1,3
40,TRAPEZOID_AREA,(AREA QUESTION1),ALT:TRAPEZOID-AREA,5,0.4858,1,0,5,1,4
41,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,5,0.5954,1,1,5,2,3
42,TRAPEZOID_ABCD,(AREA QUESTION1),ALT:TRAPEZOID-AREA,6,0.4012,1,0,6,1,5
43,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,5,0.5335,1,0,5,2,3
44,TRAPEZOID_ABCD,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,6,0.5357,1,0,6,2,4
45,TRAPEZOID_AREA,(AREA QUESTION1),ALT:TRAPEZOID-AREA,7,0.322,1,1,7,2,5
46,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,7,0.4749,1,0,7,2,5
47,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,6,0.4753,1,0,6,2,4
48,TRAPEZOID_ABCD,(AREA QUESTION1),ALT:TRAPEZOID-AREA,8,0.2519,1,1,8,3,5
49,TRAPEZOID_ABCD,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,7,0.4177,1,1,7,3,4
50,TRAPEZOID_ABCD,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,8,0.4149,1,1,8,3,5
51,TRAPEZOID_AREA,(AREA QUESTION1),ALT:TRAPEZOID-AREA,9,0.1927,1,1,9,4,5
52,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,9,0.3573,1,1,9,4,5
53,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,8,0.3622,1,0,8,3,5
54,TRAPEZOID_HEIGHT,(HEIGHT QUESTION3),ALT:TRAPEZOID-HEIGHT,10,0.3035,1,1,10,5,5
55,TRAPEZOID_BASE,(LONGER-BASE QUESTION2),ALT:TRAPEZOID-BASE,9,0.3102,1,1,9,4,5
56,TRIANGLE_ABC,(AREA QUESTION1),ALT:TRIANGLE-AREA,1,0.4495,1,1,1,1,0
57,TRIANGLE_ABC,(HEIGHT QUESTION2),ALT:TRIANGLE-SIDE,1,0.6557,1,0,1,0,1
58,TRIANGLE_ABC,(BASE QUESTION3),ALT:TRIANGLE-SIDE,2,0.6472,1,1,2,1,1
59,TRIANGLE_TRIANGLE,(AREA QUESTION1),ALT:TRIANGLE-AREA,2,0.439,1,0,2,1,1
60,TRIANGLE_RECTANGLE,(BASE QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION,1,0.5738,1,0,1,0,1
61,TRIANGLE_RECTANGLE,(AREA QUESTION1),ALT:TRIANGLE-AREA,3,0.4287,1,0,3,1,2
62,DESIGNING_A_QUILT,(AREA QUESTION1),ALT:TRIANGLE-AREA,4,0.4183,1,1,4,2,2
63,DESIGNING_A_QUILT,(WHITE-AREA QUESTION1),ALT:COMPOSE-BY-MULTIPLICATION,2,0.5458,1,0,2,0,2
